playerId,season,name,team,position,situation,icetime,xGF60,xGA60,CF60,CA60,xGImpact,CFImpact,A160,G60
8471817,2022,Ryan Reaves,MIN,R,all,40825.0,-1.2270593756562658,0.5934235259984322,-1.1535261914184456,-0.8712136205549401,-1.0136579148351978,-1.1396470592471821,-0.5477225262607205,-0.8985866618184291
8471817,2022,Ryan Reaves,MIN,R,5on5,40382.0,-1.1818794890077646,0.10117272978352808,-1.286402173300206,-1.1215402811774504,-1.0976501797728535,-1.5268234444873094,-0.3356205677853828,-0.6845027994307891
8480950,2022,Ilya Lyubushkin,BUF,D,all,61236.0,-0.8086117557746176,-1.0930723577748873,-0.9678248832744817,-1.2561769994873064,-1.1491431157022847,-1.2924540670874147,-0.003997178207014796,-0.5437581889489848
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,52172.0,-0.7518023503570882,-0.1675015184761299,-0.8841236445960685,-0.5619309748046534,-0.586354755038149,-0.8845672845858923,-0.07868372461665234,-0.7697014410108729
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,8020.0,-0.2927075506448481,-0.869108758655882,-1.1138027221903601,-0.11835806153691908,-0.5172095775664219,-0.8232998946609321,1.9494670005375132,-0.33734369966975336
8475625,2022,Matt Irwin,WSH,D,all,47720.0,-1.3463173532623136,1.0749957545719746,-0.8440842072288619,0.10016785423575664,-0.526762380248836,-0.4839708952513476,-1.0764149006090755,-0.3548389646826021
8475625,2022,Matt Irwin,WSH,D,5on5,44257.0,-2.22602535270082,0.6671918595976971,-1.1240263739079444,0.2323360544920274,-1.221205016132086,-0.6398454998013225,-1.0465982029172016,-0.19001257063678262
8480860,2022,Kevin Bahl,NJD,D,all,35331.0,-0.5457103581440272,0.6193965143139336,-0.23278546244768983,0.665237194769986,0.22009450229530395,0.18976508127870753,-0.5800400773579107,-0.05470502564052447
8480860,2022,Kevin Bahl,NJD,D,5on5,32939.0,0.5239005230738482,-0.3951478653415188,-0.011404308167240512,0.8053458996356831,0.04849550605578679,0.5837634241215254,-0.3642059062215285,0.15587997426677247
8477952,2022,Robby Fabbri,DET,C,all,26877.0,0.31518303676786774,0.35024248660545876,-0.43267067243992574,-0.02667207146158819,0.6175530166706211,-0.3778630448932511,0.0982168363826953,0.33761520302686954
8477952,2022,Robby Fabbri,DET,C,5on5,21272.0,-1.0829315068565455,-0.36764033521168604,-2.0532002844697566,-1.6774873997243722,-1.492584400392128,-2.5835722474829974,-1.2859016304415116,-1.0053879991384573
8478047,2022,Michael Bunting,TOR,L,all,77721.0,0.590019656828214,-0.1508201791818712,0.9733213147619952,-0.19382065600021003,0.3845228835983604,0.5108849718530009,0.6920492107956444,0.6555505883611753
8478047,2022,Michael Bunting,TOR,L,5on5,67047.0,1.8955793893595942,-1.2747796450865845,1.5916901017556695,-1.5475374258146417,0.679553813013881,0.32248696075514577,1.0849751279121895,0.23076400941871936
8478047,2022,Michael Bunting,TOR,L,5on4,8874.0,-2.2348788071529913,-0.9146797311204427,-1.4807952177357144,-0.6331584169954683,-2.107888754196642,-1.2866366565563183,-0.6596749520759946,0.7205182034068478
8480113,2022,Alex Iafallo,LAK,L,all,57702.0,0.26174434351754894,-0.22515549698523288,-0.08533783870532616,-0.5039552884569115,0.2680078170622317,-0.25089904250093,0.4972401226240618,0.17795277977877902
8480113,2022,Alex Iafallo,LAK,L,5on5,44053.0,0.06738576808697912,-0.029233791436845732,0.4386067502330196,-0.29941366035968325,0.08715248208496913,0.058299760006223375,0.9409710320544795,-0.5511611656804091
8480113,2022,Alex Iafallo,LAK,L,4on5,6375.0,-1.4803658962143451,0.3522197143798465,-1.202671731840601,-0.14825144162202492,-1.531571939226981,-0.9347700251011499,-0.8118820068299316,-0.8867461245249386
8473604,2022,Jonathan Toews,CHI,C,all,56320.0,1.001874835900111,-1.9108707414362398,0.8522063977986102,0.15684868791581213,0.2680078170622317,0.637848974245322,0.3729755224643134,0.390383988699445
8473604,2022,Jonathan Toews,CHI,C,5on5,41769.0,-0.09923691505569136,-1.6869596166647325,0.2408400221358895,0.05418516443990029,-0.9001830694632162,0.32248696075514577,-0.09028283659709316,-0.9866016222974917
8473604,2022,Jonathan Toews,CHI,C,5on4,8435.0,0.40059870053192703,-1.1021462129142359,0.8738400368350343,-0.25863716975793816,-0.2381296918966918,0.5348456218406042,-0.611573787926097,2.2228656283681048
8473446,2022,Erik Johnson,COL,D,all,65222.0,-1.005431026152089,-1.6662040094865365,-1.0343880064813198,-1.528108005296587,-1.7715238511557325,-1.2924540670874147,-0.30083588691905866,-1.210762138489661
8473446,2022,Erik Johnson,COL,D,5on5,56204.0,-0.7187276348639487,-0.9296823677789564,-0.6966130311039593,-1.5748114863886562,-1.221205016132087,-1.3740108541550313,-0.17713533629210915,-1.1966705081326483
8473446,2022,Erik Johnson,COL,D,4on5,7381.0,0.564028241893928,-1.016028269235712,0.038476244656430326,0.6026561612297097,0.32150865632507314,0.36415187648464326,2.1596307576894507,-0.33734369966975336
8478891,2022,Mason Appleton,WPG,C,all,39407.0,-0.31997922341534324,-1.3588180122154465,-0.8648592734704368,-2.1593640115631403,-0.8971428482990684,-1.3935750640318258,-0.24503904693189685,-0.8591004148027858
8478891,2022,Mason Appleton,WPG,C,5on5,32671.0,1.3990843267038364,-0.5645485240267807,0.3405552887265825,-0.9672110977897055,0.679553813013881,-0.47007464149162137,-0.35275372389959186,-1.0290339898895813
